departement;departement_name;dienststelle;dienststelle_name;spezialfinanzierung;spezialfinanzierung_name;konto;konto_name;projekt;projekt_name;budget_2027_ausgaben;budget_2027_einnahmen;budget_2026_ausgaben;budget_2026_einnahmen;rechnung_2025_ausgaben;rechnung_2025_einnahmen;seite
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0258;VK EWB Erneuerung Wärmeerzeugung BBZ Birch;;;;;247204.0;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0259;VK GEH Gebäudesanierung und Erneuerung Haustechnikanlagen Krebsbachstrasse 129 und 131;;;1500000.0;;261591.9;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0261;VK KGF Kantonsschule Erstellung Geräteraum mit Fahrradunterstand Innenhof Bau D;;;;;160319.25;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0273;VK Schloss Charlottenfels Beleuchtungssanierung und - erweiterung;;;150000.0;;216932.84;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0274;VK BBZ Campus Charlottenfels - Sporträume;;;;;458101.01;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0275;VK Verbesserung Sommerlicher Wärmeschutz Verwaltungsliegenschaften;100000.0;;200000.0;;217563.4;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0276;VK Hindernisfreies Bauen;100000.0;;250000.0;;90915.89;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0277;VK Umbauten Grundbuchamt;;;;;497995.4;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0289;VK Anschluss Fernwärme Rheinstrasse 10 und Rosengasse 8 an Wärmeverbund Herrenacker;;;300000.0;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0290;VK Ersatz Brandmeldeanlage VGM;;;300000.0;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0291;VK Ersatz Wäremeerzeugnung BBZ Hintersteig;1000000.0;;1000000.0;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0292;VK Kantonsschule Sanierung Hallendecke Bau E;;;480000.0;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0293;VK Hauptbau BBZ Atrium Leuchtmittelsanierung;;;540000.0;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0295;VK Auftrennung Steuerung Wärmeverbund Herrenacker;20000.0;;300000.0;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0301;Übertragung Liegenschaft Frauengasse 20 vom FV ins VV;;;;;3310000.0;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0311;VK Gebäudehüllensanierung Durchgangszentgrum Friedeck;430000.0;;;;;;268
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0312;VK Dachsanierung Flachdächer und PV-Anlage VGM Neubau;160000.0;;;;;;269
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0313;Modernisierung Personenaufzüge VGM;260000.0;;;;;;269
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0314;VK Obergericht Mieterausbau;200000.0;;;;;;269
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0315;VK Ertüchtigung Verhandlungsräume Kantonsgericht für digitale Aktenführung;700000.0;;;;;;269
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5040.00;Hochbauten;IPR0316;VK Ligno Color Dachsanierung inkl. PV-Anlage;690000.0;;;;;;269
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;5060.00;Mobilien;IPR0296;VK BBZ Birch Ersatz Gastroherde;;;240000.0;;;;269
23;Baudepartement;2332;Liegenschaften Verwaltungsvermögen;;;6300.00;Bund;IPR0021;VK PSZ Neubau Kantonales Sicherheitszentrum;;;;2000000.0;;5406552.0;269
23;Baudepartement;2340;Kantonsforstamt;;;5050.00;Waldungen;IPR0176;VK DPZ Durchgangsplatz Ziegelhütte;;;;;5600.0;;269
23;Baudepartement;2340;Kantonsforstamt;;;6050.00;Übertragung von Waldungen;IPR0176;VK DPZ Durchgangsplatz Ziegelhütte;;;;;;5600.0;269
23;Baudepartement;2375;Öffentlicher Verkehr;;;5540.00;Öffentliche Unternehmungen;IPR0299;Beteiligung Stammkapital «4 Länder Mobil GmbH» (2 Stammanteile);;;;;8000.0;;269
23;Baudepartement;2375;Öffentlicher Verkehr;;;5620.00;Gemeinden und Gemeindezweckverbände;IPR0300;VK Finanzierungsbeitrag Personenunterführung / Neugestaltung Bahnhofplatz Neunkirch;2150200.0;;716800.0;;;;269
23;Baudepartement;2398;;2398.7214;Liegenschaften Areal Breitenau, Nutzung Spitäler Schaffhausen;5040.00;Hochbauten;IPR0190;VK SÖV Sanierung und ökologische Verbesserung Wärmeverbund Breitenau;300000.0;;538000.0;;2371.45;;270
24;Volkswirtschaftsdepartement;2405;Wirtschaftsförderung;;;5450.00;Private Unternehmungen;IPR0243;VK Wirtschaftsförderung - Investitionsbeiträge und Darlehen;;;;;300000.0;;271
24;Volkswirtschaftsdepartement;2405;Wirtschaftsförderung;;;5650.00;Private Unternehmungen;IPR0064;VK Wirtschaftsförderung 3. Tranche 2010-2019;;;30000.0;;;;271
24;Volkswirtschaftsdepartement;2405;Wirtschaftsförderung;;;5650.00;Private Unternehmungen;IPR0065;VK Wirtschaftsförderung 4. Tranche 2020-2029 (TP 2020- 2023) - Invest.beiträge;100000.0;;150000.0;;375000.0;;271
24;Volkswirtschaftsdepartement;2405;Wirtschaftsförderung;;;5650.00;Private Unternehmungen;IPR0243;VK Wirtschaftsförderung - Investitionsbeiträge und Darlehen;1000000.0;;1000000.0;;-175000.0;;271
24;Volkswirtschaftsdepartement;2405;Wirtschaftsförderung;;;5650.00;Private Unternehmungen;IPR0243-1;Zusatzkredit VK Wirtschaftsförderung - Investitionsbeiträge;1500000.0;;;;;;271
24;Volkswirtschaftsdepartement;2414;Amt für Grundstückschätzungen;;;5200.00;Software;ITP5000;VK Update/Einführung GemDat;;;;;115093.16;;271
